id,title,description,image_url,modal_image_url,tag,duration,features,modal_content,highlights
guest-house-hot-tubs,Гостевой дом + горячие чаны,Размещение в гостевом доме с горячими чанами на природе,https://images.unsplash.com/photo-1571902943202-507ec2618e8f,https://images.unsplash.com/photo-1571902943202-507ec2618e8f,С размещением,Минимум 2 ночи,Горячие чаны;Гостевой дом;До 6 человек;Трансфер включен,"<strong>Эко-релакс в природе</strong> — уединенный отдых в гостевом доме с горячими чанами под открытым небом. Возможность совмещения с экскурсией к затонувшему кораблю.","♨️ Эко-релакс программа|Размещение в уютном гостевом доме (до 6 человек);Горячие чаны под открытым небом;Панорамные виды на Атлантический океан;Возможность совмещения с кораблекрушением"
gastronomic-dinner,Гастрономический ужин патагонские продукты,Авторский ужин из местных патагонских продуктов с винным сопровождением,https://images.unsplash.com/photo-1414235077428-338989a2e8c0,https://images.unsplash.com/photo-1414235077428-338989a2e8c0,Гастрономия,3-4 часа,Chef's table;Патагонские продукты;Винное сопровождение;От 4 человек,"<strong>Chef's table на краю света</strong> — гастрономическое путешествие с авторским меню из уникальных продуктов Патагонии. Морской краб патагонская баранина дикие грибы и местные вина.","👨‍🍳 Авторская кухня|Меню от шеф-повара из местных продуктов;Патагонская баранина морской краб дикие ягоды;Винное сопровождение аргентинскими винами;Рассказ о кулинарных традициях региона"
trekking-day,Треккинг однодневный,Однодневный треккинг по горным тропам Огненной Земли с русскоговорящим гидом,https://images.unsplash.com/photo-1551632811-561732d1e306,https://images.unsplash.com/photo-1551632811-561732d1e306,Треккинг,Весь день,Горные тропы;Русскоговорящий гид;Трансфер;Живописные маршруты,"<strong>Треккинг в Андах</strong> — пешие маршруты по горным тропам с потрясающими видами на канал Бигль горные озера и девственные леса субантарктики.","🥾 Горные маршруты|Треккинг по живописным горным тропам;Виды на канал Бигль и горные пики;Девственные леса и горные озера;Фотографирование в живописных локациях"
trekking-2days,Треккинг двухдневный с ночевкой,Двухдневный треккинг с ночевкой в палатках включая гида питание и снаряжение,https://images.unsplash.com/photo-1551632811-561732d1e306,https://images.unsplash.com/photo-1551632811-561732d1e306,Треккинг,2 дня,Ночевка в палатках;Все снаряжение включено;Питание включено;Русскоговорящий гид,"<strong>Экспедиционный треккинг</strong> — двухдневное погружение в дикую природу Огненной Земли с ночевкой под звездами самого южного неба планеты.","⛺ Экспедиционная программа|День 1: Треккинг к базовому лагерю установка палаток;Ночевка в горах под южными звездами;День 2: Восхождение к видовым точкам спуск;Все снаряжение: палатки спальники коврики"
lakes-4x4,Экскурсия к озерам 4x4,Внедорожная экскурсия к горным озерам с обедом и различными активностями,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,Внедорожные,Весь день,Внедорожники 4x4;Горные озера;Каякинг опционально;Англо/испанский гид,"<strong>Озера в горах</strong> — внедорожная экспедиция к удаленным горным озерам недоступным обычным транспортом. Девственная природа и кристально чистые воды с возможностью водных активностей.","🚙 Варианты программ|<strong>Базовая экскурсия к озерам</strong> — поездка на внедорожниках к озерам Эскондидо и Фаньяно с обедом на природе;<strong>Озера + каякинг</strong> — добавляется каякинг по горным озерам с инструктором и снаряжением;<strong>Озера + закатный каякинг</strong> — романтическая версия с каякингом в лучах заходящего солнца##🏔️ Что включено|Поездка на специальных внедорожниках 4x4;Пикник на берегу озера с видами на Анды;Фотосессии в живописных локациях;Возможность сопровождения русскоговорящим гидом"
helicopter-tours,Вертолетные прогулки,Вертолетные экскурсии над Огненной Землей с различной продолжительностью и маршрутами,https://images.unsplash.com/photo-1592833159007-d9290e5e8329,https://images.unsplash.com/photo-1592833159007-d9290e5e8329,Авиация,15-45 минут,Панорамные виды;Вертолет;Различные маршруты;Эксклюзивные локации,"<strong>Полеты над краем света</strong> — захватывающие виды на Ушуайю канал Бигль и заснеженные пики Анд с высоты птичьего полета. Выберите продолжительность полета под свои предпочтения и бюджет.","🚁 Варианты полетов|<strong>15 минут</strong> — базовый обзорный полет над Ушуайей с видами на канал Бигль и город;<strong>30 минут</strong> — расширенный маршрут включающий ледники и горные цепи;<strong>45 минут</strong> — максимальная программа с возможностью высадки в эксклюзивных локациях##🏔️ Что увидите|Панорамные виды на Ушуайю с высоты птичьего полета;Канал Бигль и заснеженные пики Анд;Ледники Марсиаль и отдаленные горные области;Эксклюзивные локации недоступные другим способом"
airplane-tours,Полеты на легкомоторных самолетах,Обзорные полеты на легких самолетах — экономичная альтернатива вертолетам,https://images.unsplash.com/photo-1436491865332-7a61a109cc05,https://images.unsplash.com/photo-1436491865332-7a61a109cc05,Авиация,30-60 минут,Легкомоторный самолет;Обзорные полеты;Экономичная авиация;Панорамы,"<strong>Доступная авиация</strong> — более экономичный способ увидеть Огненную Землю с высоты. Полеты на легких самолетах с отличными видами и комфортными условиями.","✈️ Варианты полетов|<strong>30 минут</strong> — обзорный полет с панорамными видами на канал Бигль и окрестности Ушуайи;<strong>60 минут</strong> — расширенная программа с охватом большей территории Огненной Земли##🌄 Преимущества|Более экономичная альтернатива вертолетам;Вместимость до 3-4 пассажиров;Отличная видимость через большие окна;Комфортные условия полета"
air-transfers,Аэротрансферы VIP,Трансферы на легких самолетах или вертолетах в труднодоступные места,https://images.unsplash.com/photo-1436491865332-7a61a109cc05,https://images.unsplash.com/photo-1436491865332-7a61a109cc05,Трансферы,По запросу,VIP трансферы;Эксклюзивные локации;Вертолеты и самолеты;Индивидуальные маршруты,"<strong>VIP авиатрансферы</strong> — эксклюзивные перелеты в труднодоступные места. Высадки на горных вершинах отдаленных пляжах или в эстансиях с полной свободой выбора маршрута.","🛩️ Эксклюзивные возможности|Индивидуальные маршруты на вертолетах или самолетах;Доставка в эксклюзивные труднодоступные локации;Высадки в горах на отдаленных ранчо или пляжах;Полная свобода в планировании маршрута и времени"
puerto-williams-transfer,Морской трансфер Puerto Williams,Трансфер через канал Бигль в Puerto Williams (Чили) на катамаране,https://images.unsplash.com/photo-1544551763-77ef2d0cfc6c,https://images.unsplash.com/photo-1544551763-77ef2d0cfc6c,Трансферы,3 часа,Международный трансфер;Puerto Williams Чили;Катамаран;Канал Бигль,"<strong>В Чили по морю</strong> — живописный трансфер через канал Бигль в самый южный город Чили — Puerto Williams. Морское путешествие между двумя странами с потрясающими видами.","⛴️ Международный трансфер|Переход через канал Бигль в Чили;Самый южный город Чили — Puerto Williams;Живописное морское путешествие;Паспортный контроль и таможенные процедуры"
ground-transfers,Наземные трансферы,Все виды автомобильных трансферов по Ушуайе и окрестностям,https://images.unsplash.com/photo-1449824913935-59a10b8d2000,https://images.unsplash.com/photo-1449824913935-59a10b8d2000,Трансферы,15 минут - весь день,Аэропорт;Отели;Порт;Рестораны,"<strong>Комфортные переезды</strong> — полный спектр автомобильных трансферов для максимального удобства. От коротких городских поездок до аренды автомобиля на целый день.","🚗 Виды трансферов|<strong>Аэропорт - центр города</strong> — групповые и частные трансферы между аэропортом и отелями в центре;<strong>Аэропорт - отель Arakur</strong> — трансферы в горный отель с увеличенным расстоянием;<strong>Городские трансферы</strong> — поездки между отелями портом и ресторанами;<strong>Круизные трансферы</strong> — специальные условия для пассажиров круизных судов;<strong>Аренда на целый день</strong> — автомобиль с водителем в радиусе 150 км от Ушуайи;<strong>Наземный трансфер в Эль-Калафате</strong> — длительный переезд через границу с Чили##🎯 Дополнительные услуги|Русскоговорящее сопровождение при необходимости;Час ожидания при задержках или изменении планов;Гибкие маршруты и остановки по желанию"
underwater-diving,Погружение с аквалангом в воды Бигл,Дайвинг в холодных водах канала Бигль для знакомства с уникальной морской экосистемой,https://images.unsplash.com/photo-1559827260-dc66d52bef19,https://images.unsplash.com/photo-1559827260-dc66d52bef19,Активности,3-4 часа,Дайвинг;Канал Бигль;Холодные воды;Морская фауна,"<strong>Дайвинг на краю света</strong> — погружение в холодные субантарктические воды канала Бигль для знакомства с уникальной морской экосистемой которую больше нигде не увидишь.","🤿 Подводный мир|Дайвинг в субантарктических водах канала Бигль;Уникальная морская экосистема с эндемичными видами;Морские водоросли келп и разнообразная рыба;Специальное снаряжение для холодных вод включено"
